commentCount,dislikeCount,favoriteCount,likeCount,viewCount
638,25,0,1190,49859
786,40,0,1804,89453
648,28,0,1261,58400
774,32,0,2589,124820
858,44,0,1641,78317
762,40,0,1917,94765
911,40,0,2486,98908
957,43,0,2211,95728
254,20,0,1152,49355
664,147,0,3866,307630
380,9,0,665,34548
680,68,0,3220,198722
306,11,0,720,32674
279,15,0,557,24543
571,11,0,1382,42912
938,70,0,2324,114249
1138,494,0,10151,719970
487,27,0,1798,80719
691,41,0,2059,94833
738,65,0,2810,161310
748,52,0,2205,138495
176,334,0,335,10381
647,43,0,1859,117359
812,82,0,2620,161248
444,35,0,1645,97266
1224,282,0,7788,704466
779,36,0,2577,125983
696,58,0,2276,137784
818,170,0,4810,502426
539,34,0,1697,103353
502,36,0,1777,112137
537,65,0,2928,216089
706,83,0,1216,63264
623,60,0,2391,118650
203,72,0,197,10357
450,19,0,1186,54051
502,25,0,1367,70922
676,98,0,3170,185685
515,28,0,1695,77214
1147,157,0,2165,72448
630,48,0,2258,153485
990,83,0,2641,178512
902,40,0,3929,154551
560,42,0,1622,118850
638,4519,0,505,47676
673,16,0,1941,66995
1041,69,0,3297,176489
621,62,0,2972,165393
1880,418,0,6148,357236
508,32,0,1486,90460
535,44,0,2588,145194
890,108,0,4113,214772
605,4571,0,541,53539
477,33,0,1386,59892
944,99,0,4595,314281
191,54,0,160,11800
1051,55,0,3098,185664
440,54,0,2146,176380
1126,82,0,2671,170660
693,31,0,1692,82000
1057,89,0,4591,244178
657,47,0,2170,119906
241,92,0,284,18681
824,38,0,2573,122194
597,63,0,2671,171152
1102,77,0,3654,249659
426,20,0,3757,148365
929,131,0,5341,438826
578,153,0,2866,313112
754,75,0,4742,269484
363,37,0,2968,140814
770,122,0,6011,405005
1108,146,0,7642,503964
943,74,0,3818,277036
166,87,0,254,16977
540,38,0,2043,108841
1136,62,0,5384,235372
773,6731,0,843,80486
599,91,0,1955,93049
3596,416,0,15431,969132
612,56,0,3875,236669
1074,276,0,10084,1019044
571,115,0,4820,497765
657,134,0,6932,463608
829,300,0,8929,804695
676,106,0,7419,457106
269,31,0,1481,88040
476,143,0,5764,513981
865,322,0,10108,1088316
283,45,0,2267,173947
438,45,0,1965,82236
657,110,0,7251,384223
363,17,0,4044,106266
375,43,0,2832,202907
451,105,0,6881,389432
351,89,0,3195,364201
932,157,0,7358,573949
407,108,0,4666,416422
1845,1312,0,44031,2822377
785,482,0,12105,1266020
1537,370,0,13494,1085956
716,100,0,4789,282824
1362,232,0,8640,617545
1727,206,0,8431,776288
1421,49,0,2906,189729
789,68,0,2944,192534
998,87,0,4385,278452
963,100,0,5442,372460
1034,198,0,3863,326700
634,53,0,2266,157138
902,43,0,2378,134282
1213,89,0,4630,251898
634,78,0,2568,244762
546,57,0,1964,155558
868,71,0,2407,175108
419,40,0,1845,129549
676,4820,0,795,62433
975,77,0,3213,133502
1794,170,0,6803,391945
1169,290,0,5570,705126
946,90,0,3101,284461
890,113,0,3004,258267
1091,131,0,4756,443901
840,99,0,4099,241422
630,108,0,3373,226747
725,74,0,3562,294528
594,49,0,2203,151796
642,40,0,2210,110818
120,37,0,173,10185
2133,388,0,13233,1093674
495,60,0,1941,144789
1047,208,0,7455,650018
653,116,0,3508,325293
574,34,0,1935,134985
158,47,0,232,12738
613,56,0,1900,128618
1146,210,0,5769,444517
425,31,0,1561,94605
959,204,0,10886,1070326
669,72,0,2261,217138
702,116,0,2880,305810
1155,182,0,9616,579460
154,222,0,222,9777
518,57,0,1690,119682
621,3707,0,591,58664
689,57,0,2594,178147
507,52,0,1471,57481
519,29,0,1522,82299
781,45,0,3709,159656
181,22,0,193,10211
660,50,0,1565,97300
1038,168,0,5079,472856
580,32,0,2310,119889
632,49,0,1905,127240
548,29,0,2077,74057
706,50,0,2434,163352
555,51,0,2086,207592
160,21,0,268,15963
773,74,0,4844,268110
508,47,0,2354,152599
2348,404,0,15759,1236083
506,53,0,2919,172072
976,406,0,6428,861764
1290,320,0,9044,959413
1139,222,0,6404,480573
396,51,0,2193,148751
684,100,0,3306,171723
663,63,0,1979,157872
1102,146,0,4963,353649
516,67,0,2210,204031
770,101,0,4204,370166
614,126,0,4022,430026
772,145,0,5170,311496
496,81,0,2465,204831
609,31,0,1969,90218
610,63,0,7517,351661
545,93,0,3218,269774
682,135,0,4642,326888
1247,372,0,7444,704164
596,59,0,3925,245485
439,59,0,2994,211803
486,97,0,2846,256471
393,63,0,2226,207699
358,67,0,2035,199880
590,95,0,3754,262784
910,174,0,3556,461586
488,133,0,3479,405695
583,164,0,6952,512566
684,217,0,4796,388750
432,113,0,3326,235148
340,84,0,7738,565667
176,66,0,2039,252850
182,37,0,3744,298619
1478,381,0,20027,1265931
412,174,0,7514,768997
799,411,0,10496,1305724
5294,2293,0,72676,6165125
343,71,0,4446,346631
501,146,0,8074,762977
1663,1566,0,14420,1617768
316,80,0,4682,407016
2129,668,0,27691,1990006
586,268,0,9052,1200941
1345,601,0,18602,1600974
1804,451,0,44772,2029271
640,449,0,13204,1755211
610,253,0,20773,1273769
178,36,0,1545,126097
1550,769,0,30793,3016984
753,114,0,3848,282324
925,361,0,17375,1701209
721,12277,0,3724,381588
1176,446,0,16270,1871097
324,208,0,6371,833065
1245,353,0,28677,1759972
644,205,0,6342,952085
576,386,0,11796,1755594
1915,2115,0,50390,5364633
1050,281,0,14049,1187611
603,241,0,7094,970445
794,460,0,9200,1600555
1602,419,0,23664,1575310
601,90,0,3045,233915
482,58,0,3483,229092
709,306,0,6202,657875
388,52,0,2649,209504
528,25,0,2043,61587
405,45,0,3629,195239
417,87,0,3720,274350
119,18,0,189,10336
576,193,0,4467,466851
401,41,0,2543,206150
390,79,0,3853,288255
1318,7519,0,7519,217205
535,94,0,3844,313311
415,48,0,2490,234741
405,128,0,4995,463633
665,165,0,5600,511828
1983,183,0,11067,543907
860,312,0,6998,859829
346,32,0,2029,157342
1109,165,0,7452,475671
576,216,0,3726,369320
169,25,0,1814,146733
396,152,0,3275,320473
686,81,0,7260,279993
541,81,0,3203,220643
589,145,0,5454,440124
702,148,0,6341,461316
1151,465,0,7272,731102
496,39,0,3865,151925
514,90,0,2295,226672
436,62,0,2808,174173
873,79,0,4712,332473
1282,332,0,8849,747601
353,46,0,2710,216081
353,52,0,2514,208463
330,58,0,2261,200319
213,25,0,1611,139972
251,32,0,1400,158404
243,37,0,1656,153114
687,81,0,4590,264775
262,24,0,1640,102037
426,31,0,2367,115927
390,38,0,2744,161221
401,40,0,2678,191159
671,86,0,3607,272645
399,56,0,3557,280765
295,21,0,1489,71907
263,22,0,1764,112225
238,60,0,2261,34110
367,28,0,1498,112102
167,12,0,347,27306
110,4,0,214,19275
67,9,0,145,10475
387,36,0,2293,155341
440,31,0,2404,129047
384,42,0,3290,261292
586,67,0,3668,325224
587,110,0,3526,296616
440,23,0,2029,105695
387,29,0,2345,149590
293,28,0,1318,105731
547,46,0,2028,101472
371,40,0,1850,129567
395,23,0,1332,82359
137,3,0,270,14349
562,59,0,3632,227304
580,62,0,2814,196335
406,31,0,1721,92434
548,69,0,3062,239498
422,57,0,2484,184437
596,85,0,3284,242558
155,17,0,300,19028
557,78,0,4573,248488
522,31,0,2606,148604
307,31,0,2526,126181
403,98,0,3386,347899
174,33,0,2124,136136
621,120,0,4918,385107
340,49,0,2499,232358
128,4,0,312,14401
693,190,0,5383,627401
807,79,0,6213,284146
434,31,0,1879,125091
388,41,0,2382,190091
184,10,0,371,17034
577,65,0,3223,243038
297,35,0,1770,125221
938,45,0,3651,143553
631,36,0,2872,128689
536,126,0,4379,261155
392,64,0,2453,194833
146,4,0,411,16563
512,66,0,3455,212125
459,66,0,2522,197775
452,67,0,3620,292973
390,67,0,2964,125004
110,6,0,254,19373
682,136,0,4375,288493
4184,1206,0,54756,3008641
791,143,0,10943,554947
216,30,0,1451,110789
90,9,0,194,12311
390,78,0,3772,279708
357,47,0,1919,154194
383,49,0,2421,219162
330,70,0,2928,193687
378,41,0,2661,148802
67,9,0,143,10338
434,105,0,4616,374711
269,28,0,1981,152730
318,40,0,2313,167508
334,46,0,2951,216042
70,3,0,159,10659
571,85,0,2603,181067
307,42,0,1975,164896
283,45,0,2866,230193
57,5,0,148,11251
244,45,0,1755,167702
207,38,0,1794,184308
242,39,0,1838,116246
237,14,0,1136,52159
77,15,0,119,9615
340,38,0,3388,247807
418,102,0,3325,309009
631,147,0,4478,506227
69,1,0,164,9954
313,23,0,3671,130677
349,41,0,2777,218363
57,6,0,188,9959
211,35,0,2408,177223
320,52,0,2073,170042
369,63,0,3137,259582
112,10,0,301,15009
236,50,0,2255,185718
298,34,0,2133,156412
161,12,0,424,26253
330,48,0,2895,220914
262,47,0,1236,101952
408,93,0,2441,244877
331,37,0,1970,155641
363,125,0,3866,400971
389,43,0,2596,255429
559,102,0,4092,340741
344,45,0,2381,157508
337,82,0,4042,349205
245,39,0,2024,227431
266,49,0,2375,231580
359,67,0,2643,306985
499,87,0,4401,363722
965,205,0,5031,467206
291,35,0,1901,142900
521,135,0,2827,291328
481,151,0,4296,396310
609,150,0,5725,660959
432,55,0,2882,147308
729,172,0,2759,157388
379,63,0,2908,191228
342,101,0,2932,293801
313,53,0,2679,185360
285,29,0,2076,102872
168,62,0,2904,290597
1185,186,0,9738,593271
228,41,0,2664,221373
505,96,0,6973,482478
448,124,0,4175,500558
368,54,0,2083,206841
371,96,0,2646,355652
278,29,0,1241,49577
484,98,0,3585,348955
547,187,0,5269,774927
281,47,0,1325,148360
224,62,0,2728,247068
269,76,0,1950,285497
291,60,0,4596,417589
236,27,0,1906,200136
335,42,0,2182,244292
471,126,0,4639,554060
315,63,0,3563,382594
506,132,0,5620,569171
197,26,0,1544,123456
367,88,0,7070,514852
377,77,0,4742,383519
317,108,0,4418,426755
376,67,0,3894,301854
263,75,0,2045,220020
192,47,0,2717,176201
242,43,0,1256,123577
361,163,0,6780,684862
922,300,0,8995,714521
338,108,0,4426,540777
1763,434,0,17461,1458487
273,42,0,2733,171001
123,32,0,1438,151162
184,42,0,2698,228401
347,89,0,4352,352689
141,37,0,1658,109477
87,20,0,950,46151
598,303,0,13032,1067784
132,39,0,1992,215541
142,45,0,1760,181480
226,37,0,1462,87137
165,71,0,3432,368858
286,95,0,3559,460680
370,91,0,5656,547337
241,61,0,3288,384272
161,30,0,2645,121845
243,45,0,1934,107525
119,27,0,1733,111993
258,45,0,3588,257618
262,72,0,3642,285193
157,36,0,1288,137109
310,48,0,3535,227737
261,80,0,4298,416778
73,25,0,1430,125807
261,43,0,2755,273100
205,38,0,2713,156048
176,99,0,3985,442430
14,7,0,83,5131
11,3,0,72,3793
12,11,0,80,6949
50,4,0,407,26904
7,1,0,84,4775
101,13,0,622,38724
1153,1059,0,24268,4569666
803,626,0,16542,2530100
492,226,0,5271,770035
587,306,0,5469,697092
1261,547,0,22589,2113113
733,405,0,9736,1339641
256,166,0,4931,800380
2824,2101,0,30865,4292332
2655,1117,0,42283,3988642
448,226,0,6976,1435688
122,80,0,2398,348881
181,109,0,2782,441705
412,211,0,8194,971112
541,104,0,7846,593524
931,516,0,10746,1855656
206,51,0,3160,386464
1550,1469,0,21869,4523120
128,92,0,2467,539269
148,17,0,1998,123876
688,494,0,13902,2529803
482,308,0,11224,1316606
207,51,0,3451,258318
34,11,0,277,18258
14,28,0,144,21923
270,64,0,1924,242509
241,311,0,4066,1168690
604,149,0,7901,756574
228,115,0,4635,550337
1028,613,0,19824,3025885
75,21,0,828,145617
659,132,0,7582,756813
225,266,0,5440,1103393
245,125,0,5402,763603
250,72,0,1934,224053
577,329,0,5879,1007368
7,1,0,66,2961
10,0,0,77,4786
4,0,0,43,2050
5,0,0,37,2017
7,0,0,70,2274
58,6,0,931,42195
1,3,0,39,1538
2,0,0,40,1751
19,0,0,350,17651
4,1,0,54,3126
7,1,0,65,4017
4,1,0,70,4654
6,2,0,102,5638
14,4,0,104,4222
8,1,0,83,5512
47,6,0,545,41397
13,3,0,163,33863
13,3,0,134,36887
301,31,0,2931,172214
29,8,0,178,19137
